icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
abstract-071,abstract,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IwBi2AOZ3t46ooiISw3j9W6L,0,gpt-4o-2024-08-06,2024-08-18T22:29:30.010223,,1
abstract-071,data transfer,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_w2BQOcewQQ5vtljcY1LBZR2t,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.689882,,1
abstract-071,disk drive,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_w2BQOcewQQ5vtljcY1LBZR2t,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.689882,,1
abstract-071,gear,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IwBi2AOZ3t46ooiISw3j9W6L,0,gpt-4o-2024-08-06,2024-08-18T22:29:30.010223,,1
abstract-071,hard disk,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_w2BQOcewQQ5vtljcY1LBZR2t,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.689882,,1
abstract-071,read/write,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_w2BQOcewQQ5vtljcY1LBZR2t,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.689882,,1
abstract-071,storage,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_w2BQOcewQQ5vtljcY1LBZR2t,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.689882,,1
abstract-071,storage device,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_w2BQOcewQQ5vtljcY1LBZR2t,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.689882,,1
abstract-071,accessing data,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_w2BQOcewQQ5vtljcY1LBZR2t,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.689882,,1
abstract-071,archiving,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_w2BQOcewQQ5vtljcY1LBZR2t,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.690792,,1
abstract-071,assembly,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IwBi2AOZ3t46ooiISw3j9W6L,0,gpt-4o-2024-08-06,2024-08-18T22:29:30.010223,,1
abstract-071,automation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_IwBi2AOZ3t46ooiISw3j9W6L,0,gpt-4o-2024-08-06,2024-08-18T22:29:30.010223,,1
