icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
acid-blob,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,2
acid-blob,acid,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Kyp2bieJ79mLY7bvci12dBR7,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.433990,,1
acid-blob,amorphous,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Kyp2bieJ79mLY7bvci12dBR7,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.433990,,1
acid-blob,bacteria,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,1
acid-blob,biological,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,2
acid-blob,biology,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,1
acid-blob,blob,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Kyp2bieJ79mLY7bvci12dBR7,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.433990,,1
acid-blob,cell,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,1
acid-blob,chemical,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Kyp2bieJ79mLY7bvci12dBR7,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.433990,,1
acid-blob,corrosive,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Kyp2bieJ79mLY7bvci12dBR7,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.433990,,1
acid-blob,dissolution,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Kyp2bieJ79mLY7bvci12dBR7,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.433990,,1
acid-blob,liquid,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Kyp2bieJ79mLY7bvci12dBR7,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.433990,,1
acid-blob,microbe,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,1
acid-blob,microorganism,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,1
acid-blob,microscopic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,1
acid-blob,organism,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,1
acid-blob,reaction,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Kyp2bieJ79mLY7bvci12dBR7,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.433990,,1
acid-blob,chaos,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Kyp2bieJ79mLY7bvci12dBR7,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.433990,,1
acid-blob,contour,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,2
acid-blob,culture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,1
acid-blob,discovery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_lGSwO9n2tnTMHV0wHJDTkhAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.780647,,1
