icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
acid-tube,acid,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,bubbling,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,chemistry,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,collaboration,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,community,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,connection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,cooperation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,glassware,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,group,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,laboratory,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,liquid,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,network,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,networking,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,people,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,reaction,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,social,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,team,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,test tube,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,unity,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,association,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,bonding,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,chemical spill,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,circle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,collective,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,conference,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,container,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,danger,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,discussion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,experiment,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,fizzing,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,gathering,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,1
acid-tube,hazard,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_cQJA0MbbEcqqAtSni1ZmBNqE,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.552592,,1
acid-tube,interaction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LkBpMMKn6MSOeEb0EJuu4Udx,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.934825,,2
