icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
africa,Africa,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,2
africa,abstract,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_9HUUqU4kPGxwK3v8QUgsmW4C,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.174858,,1
africa,continent,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,2
africa,geography,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,2
africa,map,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,2
africa,shape,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_9HUUqU4kPGxwK3v8QUgsmW4C,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.174858,,1
africa,borders,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,1
africa,cartography,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,2
africa,culture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,2
africa,design,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_9HUUqU4kPGxwK3v8QUgsmW4C,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.174858,,1
africa,diversity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_9HUUqU4kPGxwK3v8QUgsmW4C,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.174858,,1
africa,education,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_9HUUqU4kPGxwK3v8QUgsmW4C,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.174858,,1
africa,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_9HUUqU4kPGxwK3v8QUgsmW4C,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.174858,,1
africa,global,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,2
africa,icon,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_9HUUqU4kPGxwK3v8QUgsmW4C,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.174858,,1
africa,identity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_9HUUqU4kPGxwK3v8QUgsmW4C,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.174858,,1
africa,illustration,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_9HUUqU4kPGxwK3v8QUgsmW4C,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.174858,,1
africa,international,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,1
africa,landmass,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,2
africa,location,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,1
africa,minimalism,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_9HUUqU4kPGxwK3v8QUgsmW4C,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.174858,,1
africa,outline,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,2
africa,region,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,1
africa,representation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,2
africa,silhouette,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,1
africa,simplified,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_9HUUqU4kPGxwK3v8QUgsmW4C,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.174858,,1
africa,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cPgJMiKQdpjyV7hg8sJIkw9f,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.545593,,1
