icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
alien-stare,alien,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,extraterrestrial,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,eyes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,awareness,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,consciousness,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,contact,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,cosmic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,mystery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,observation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,perception,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,speculative,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,unidentified,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,unknown,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,vigilance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,watching,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,cryptic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,futuristic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,imagination,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,paranormal,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,psychedelic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,spiritual,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
alien-stare,surreal,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BpiYabIPcHq8dtSAngSjYU51,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.798612,,1
