icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
archive-research,book,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,magnifying glass,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,research,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,search,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,analysis,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,detail,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,discovery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,education,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,examination,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,exploration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,focus,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,information,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,inspection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,investigation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,knowledge,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,learning,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,literature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,reading,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,scrutiny,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,study,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,document,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,enlightenment,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,library,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,text,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
archive-research,vision,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UKlI7lsTJuNuolFC1FBtyUXa,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.645256,,1
