icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
ascending-block,alert,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,beacon,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,guidance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,lighthouse,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,navigation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,safety,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,signal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,visibility,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,warning,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,coast,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,harbor,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,island,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,landmark,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,light,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,maritime,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,night,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,ocean,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,sailor,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,sea,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,ship,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,shore,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,watchtower,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,storm,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
ascending-block,structure,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_Sfro3aDmdzbhevNaFzr8gnbD,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.675256,,1
