icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
atom-core,atom,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,2
atom-core,core,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Is3PeYy1q4kzX26MA66eUSPJ,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.787339,,1
atom-core,electron,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,1
atom-core,molecule,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,2
atom-core,nucleus,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,2
atom-core,center,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,1
atom-core,central,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Is3PeYy1q4kzX26MA66eUSPJ,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.788230,,1
atom-core,chemistry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,1
atom-core,circles,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,1
atom-core,circular,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Is3PeYy1q4kzX26MA66eUSPJ,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.788230,,1
atom-core,diagram,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,2
atom-core,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,2
atom-core,model,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Is3PeYy1q4kzX26MA66eUSPJ,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.788230,,1
atom-core,nuclear,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Is3PeYy1q4kzX26MA66eUSPJ,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.787339,,1
atom-core,orbit,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,2
atom-core,orbiting,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,1
atom-core,particles,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,2
atom-core,physics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,2
atom-core,rotation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,1
atom-core,science,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,2
atom-core,scientific,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,1
atom-core,spheres,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,1
atom-core,structure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,2
atom-core,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PZ44sYHPTnxjqZ0588d6v7w7,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.691275,,1
atom-core,system,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Is3PeYy1q4kzX26MA66eUSPJ,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.788230,,1
