icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
avocado,avocado,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8o0hIFCCt57kdhl6N1jehvit,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.815247,,1
avocado,ellipse,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_daR2aAtpRvilRVjDppFuOusX,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.699255,,2
avocado,fruit,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8o0hIFCCt57kdhl6N1jehvit,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.815247,,1
avocado,half,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8o0hIFCCt57kdhl6N1jehvit,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.815247,,1
avocado,pit,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8o0hIFCCt57kdhl6N1jehvit,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.815247,,1
avocado,projectile,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_daR2aAtpRvilRVjDppFuOusX,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.699255,,1
avocado,seed,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8o0hIFCCt57kdhl6N1jehvit,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.815247,,1
avocado,torpedo,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_daR2aAtpRvilRVjDppFuOusX,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.699255,,1
avocado,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8o0hIFCCt57kdhl6N1jehvit,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.815247,,1
avocado,combat,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_daR2aAtpRvilRVjDppFuOusX,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.699255,,1
avocado,cut,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8o0hIFCCt57kdhl6N1jehvit,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.815247,,1
avocado,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_daR2aAtpRvilRVjDppFuOusX,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.699255,,1
avocado,dynamics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_daR2aAtpRvilRVjDppFuOusX,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.699255,,1
avocado,food,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8o0hIFCCt57kdhl6N1jehvit,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.815247,,1
avocado,force,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_daR2aAtpRvilRVjDppFuOusX,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.699255,,1
avocado,healthy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8o0hIFCCt57kdhl6N1jehvit,0,gpt-4o-2024-08-06,2024-08-18T22:28:59.815247,,1
