icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
back-forth,arrows,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,2
back-forth,cycle,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,2
back-forth,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,2
back-forth,navigation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,2
back-forth,adjustment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,2
back-forth,alignment,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,alternation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,change,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,1
back-forth,connection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,1
back-forth,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,exchange,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,2
back-forth,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,1
back-forth,opposite,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,2
back-forth,path,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,1
back-forth,process,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,recurrence,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,repetition,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,return,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,reverse,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,rotation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,shift,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,2
back-forth,swap,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,2
back-forth,switch,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,transition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,2
back-forth,workflow,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,backward,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,balance,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,contrast,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,1
back-forth,dual,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,1
back-forth,feedback,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,flux,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,forward,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,informational,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,1
back-forth,interaction,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,1
back-forth,interchange,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_oC1g9ssjyvB0TC3C19RNFlfK,0,gpt-4o-2024-08-06,2024-08-18T22:29:15.933877,,1
back-forth,interface,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LJ89OckUtd5tHYyyXHgGCein,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.882331,,1
