icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
backpack,backpack,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,gear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,2
backpack,hiking,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,outdoor,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,packs,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,travel,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,adventure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,adventurer,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,buckle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,camping,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,compartment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,equipment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,expedition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,exploration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,journey,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,luggage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,storage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,straps,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,survival,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,tourism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,trek,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,utility,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,utility bag,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
backpack,ranger,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cVOnuZhPZlLTVX8BVI1QIZ8T,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.718255,,1
