icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
bank,bank,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,2
bank,capital,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,2
bank,economy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,2
bank,finance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,2
bank,financial,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,2
bank,government,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,2
bank,institution,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,2
bank,monetary,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,1
bank,money,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_gnrcN6vNnYmoBScTHoYadavL,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.025258,,1
bank,wealth,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,2
bank,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,1
bank,architecture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,2
bank,building,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,2
bank,business,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,2
bank,cash,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_gnrcN6vNnYmoBScTHoYadavL,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.025258,,1
bank,classic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_c7PebiLILmISg1VCRgVlI4w1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.755484,,1
