icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
barbed-star,arrow,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,compass,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,icon,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,orientation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,star,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,symbol,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,target,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,balance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,center point,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,centralized,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,focus,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,framework,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,guidance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,multipoint,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,navigation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,shape,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,system,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,arrangement,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,graphic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,harmony,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,layout,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,pattern,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,scheme,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
barbed-star,structure,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_ZLbXUNM1M0IUPQgmVJfrGhx1,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.907389,,1
