icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
barbute,armor,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,helmet,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,mask,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,protection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,warrior,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,battle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,courage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,defense,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,disguise,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,fighter,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,headgear,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,historical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,knight,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,medieval,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,strategy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,strength,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,warfare,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,adversity,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,challenge,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,combat,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,hero,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,iconic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,mythology,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
barbute,valor,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,2
barbute,war,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_jdV6tpfatBtQBNQ7VvXSJb3F,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.912389,,1
