icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
barn-owl,alertness,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,1
barn-owl,animal,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_OlS4UDHy6b0Myxu2bl4XkLgU,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.771924,,1
barn-owl,bird,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,2
barn-owl,eyes,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_OlS4UDHy6b0Myxu2bl4XkLgU,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.771924,,1
barn-owl,knowledge,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,1
barn-owl,owl,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,2
barn-owl,watchful,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_OlS4UDHy6b0Myxu2bl4XkLgU,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.771924,,1
barn-owl,watchfulness,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,1
barn-owl,wildlife,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_OlS4UDHy6b0Myxu2bl4XkLgU,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.771924,,1
barn-owl,wisdom,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,2
barn-owl,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_OlS4UDHy6b0Myxu2bl4XkLgU,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.771924,,1
barn-owl,barn,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_OlS4UDHy6b0Myxu2bl4XkLgU,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.771924,,1
barn-owl,beak,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,2
barn-owl,ears,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,1
barn-owl,elegance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_OlS4UDHy6b0Myxu2bl4XkLgU,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.771924,,1
barn-owl,feathers,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,2
barn-owl,flight,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,2
barn-owl,guardian,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_OlS4UDHy6b0Myxu2bl4XkLgU,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.771924,,1
barn-owl,mystery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,2
barn-owl,night,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,1
barn-owl,nocturnal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,2
barn-owl,perception,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_OlS4UDHy6b0Myxu2bl4XkLgU,0,gpt-4o-2024-08-06,2024-08-18T22:28:57.771924,,1
barn-owl,perching,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_t0jxuEBA0Ivfmi6naxDaclcM,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.220810,,1
