icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
battery-100,battery,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,2
battery-100,charge,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,1
battery-100,charging,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ITBSxDi9LTpAQnlPgbGAcD5Z,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.423491,,1
battery-100,electricity,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,2
battery-100,energy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,2
battery-100,energy storage,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,1
battery-100,full charge,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ITBSxDi9LTpAQnlPgbGAcD5Z,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.423491,,1
battery-100,power,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,2
battery-100,recharge,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.888532,,1
battery-100,storage,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,2
battery-100,capacity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,2
battery-100,complete,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ITBSxDi9LTpAQnlPgbGAcD5Z,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.423491,,1
battery-100,device,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,2
battery-100,electronics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,2
battery-100,fill level,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,1
battery-100,full,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,1
battery-100,gadget,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.888532,,1
battery-100,icon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,1
battery-100,indicator,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.888532,,2
battery-100,portable,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.888532,,1
battery-100,power source,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,1
battery-100,status,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,1
battery-100,strength,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ITBSxDi9LTpAQnlPgbGAcD5Z,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.423491,,1
battery-100,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,2
battery-100,technology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,2
battery-100,three bars,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,1
battery-100,bar,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ITBSxDi9LTpAQnlPgbGAcD5Z,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.423491,,1
battery-100,block,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ITBSxDi9LTpAQnlPgbGAcD5Z,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.423491,,1
battery-100,consistency,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ITBSxDi9LTpAQnlPgbGAcD5Z,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.423491,,1
battery-100,empty,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.888532,,1
battery-100,grid,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ITBSxDi9LTpAQnlPgbGAcD5Z,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.423491,,1
battery-100,outline,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ITBSxDi9LTpAQnlPgbGAcD5Z,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.423491,,1
battery-100,plugged in,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,1
battery-100,rectangle,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ITBSxDi9LTpAQnlPgbGAcD5Z,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.423491,,1
battery-100,renewable,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,1
battery-100,smooth,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ITBSxDi9LTpAQnlPgbGAcD5Z,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.423491,,1
battery-100,sustainability,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_U11Z0O62Rko64ywRVx7RAu84,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.887527,,1
