icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
big-gear,cogwheel,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,engineering,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,gear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,industry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,machine,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,mechanism,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,technology,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,automation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,circular,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,efficiency,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,industrial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,mechanical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,precision,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,process,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,progress,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,rotation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,system,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,technical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
big-gear,tool,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_3ngdJJsAAKbzWl2TjZzjBQqn,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.465011,,1
