icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
bird-limb,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,agility,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,bird,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,flight,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,sharp edges,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,speed,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,swift motion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,wings,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,angle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,animal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,dynamism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,freedom,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,iconic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,minimalist,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,nature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,sharp,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,silhouette,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,transformation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,futuristic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,mystery,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
bird-limb,pattern,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VojKU76hT4xGenvX89p784Eo,0,gpt-4o-2024-08-06,2024-08-18T21:02:14.963934,,1
