icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
black-sea,creature,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,fantasy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,horn,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,legend,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,magic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,mythical,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,mythology,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,unicorn,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,animal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,enchantment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,fairy tale,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,head,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,horse,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,icon,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,imagination,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,legendary,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,profile,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,silhouette,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,tale,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,whimsical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,power,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
black-sea,purity,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_odRJ04jyNa5K25MGPcbVoQU1,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.875992,,1
