icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
boar-ensign,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,armadillo,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,armor,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,shell,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,wildlife,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,creature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,defense,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,legs,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,nature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,pictogram,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,prehistoric,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,protection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,scales,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,tail,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,abstract,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,curved,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,ecosystem,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,environment,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
boar-ensign,iconic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_KSzYG22kPjB1f4mrqZvkHHgy,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.411028,,1
