icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
boomerang-sun,dynamics,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,motion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,rotation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,spiral,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,swirl,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,vortex,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,windmill,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,circular,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,cyclone,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,pattern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,pinwheel,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,propeller,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,symmetric,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,turbulence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,emblem,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,graphic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,icon,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,symbol,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
boomerang-sun,visual,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_LqnEvwyjqAtartUDwcy6g2tf,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.023936,,1
