icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
bracers,armor,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_w34OHoXAVY0IyYdBUKdN3Qnb,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.389170,,1
bracers,battle,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_w34OHoXAVY0IyYdBUKdN3Qnb,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.389170,,1
bracers,bracers,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_w34OHoXAVY0IyYdBUKdN3Qnb,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.389170,,1
bracers,combat,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_w34OHoXAVY0IyYdBUKdN3Qnb,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.389170,,1
bracers,defense,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_w34OHoXAVY0IyYdBUKdN3Qnb,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.389170,,1
bracers,exploration,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BWG3eCak1o1xAufPWPXm5xBi,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.179086,,1
bracers,launch,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BWG3eCak1o1xAufPWPXm5xBi,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.179086,,1
bracers,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BWG3eCak1o1xAufPWPXm5xBi,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.179086,,1
bracers,protection,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_w34OHoXAVY0IyYdBUKdN3Qnb,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.389170,,1
bracers,protection gear,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_w34OHoXAVY0IyYdBUKdN3Qnb,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.389170,,1
bracers,rocket,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BWG3eCak1o1xAufPWPXm5xBi,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.179086,,1
bracers,space,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BWG3eCak1o1xAufPWPXm5xBi,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.179086,,1
bracers,takeoff,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BWG3eCak1o1xAufPWPXm5xBi,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.179086,,1
bracers,upward,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BWG3eCak1o1xAufPWPXm5xBi,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.179086,,1
bracers,wrist guard,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_w34OHoXAVY0IyYdBUKdN3Qnb,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.389170,,1
bracers,accessory,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_w34OHoXAVY0IyYdBUKdN3Qnb,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.389170,,1
bracers,adventure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BWG3eCak1o1xAufPWPXm5xBi,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.179086,,1
bracers,arm,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_w34OHoXAVY0IyYdBUKdN3Qnb,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.389170,,1
bracers,celebration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BWG3eCak1o1xAufPWPXm5xBi,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.179086,,1
bracers,destination,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BWG3eCak1o1xAufPWPXm5xBi,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.179086,,1
