icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
brain-freeze,helmet,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,mask,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,mechanical,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,protection,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,advanced,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,cybernetic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,defense,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,eyes,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,face,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,futuristic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,gear,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,headgear,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,industrial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,robot,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,robotics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,sci-fi,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,space,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,technology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,visor,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,circular,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,emblematic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,occupational safety,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
brain-freeze,symbol,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_SdXJqVwM1v9dB3Bhq9DiWfWz,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.055523,,1
