icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
brazil-flag,circle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,eye,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,focus,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,geometric,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,observation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,perspective,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,vision,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,awareness,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,clarity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,curvature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,detail,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,emphasis,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,form,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,iconography,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,insight,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,intersection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,sphere,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,surveillance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,view,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,contrasts,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,interpretation,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,nuance,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
brazil-flag,precision,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RsPp4d3Fk2RWOap6YICExvnE,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.979513,,1
