icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
broken-arrow,arrow,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,direction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,indicator,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,pointing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,aim,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,break,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,dynamics,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,emphasis,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,focus,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,force,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,forward,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,fragmentation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,guidance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,navigation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,path,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,pointer,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,precision,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,progress,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,sharp,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,sharpness,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,target,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,trajectory,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,transition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,vector,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,angle,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,flight,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
broken-arrow,speed,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_BL3IfwhhYsfobIrvWEgw8n61,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.459994,,1
