icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
broken-bone,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,burst,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,explosion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,explosive,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,fragmentation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,impact,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,breaking,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,chaos,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,danger,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,disruption,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,eruption,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,force,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,jagged,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,shards,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,sharp,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,starburst,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,sudden,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,clash,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,conflict,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,icon,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,pattern,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
broken-bone,symbol,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IJWKXd4tUL1U7q5tCGx30P9T,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.084579,,1
