icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
bud,animal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kvydAycoa2rotgqR5xDIk2P,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.107493,,1
bud,botanical,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_phLtKSAJAuK9oUnuzigOYLoT,0,gpt-4o-2024-08-06,2024-08-18T22:29:16.853276,,1
bud,bud,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_phLtKSAJAuK9oUnuzigOYLoT,0,gpt-4o-2024-08-06,2024-08-18T22:29:16.853276,,1
bud,bull,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kvydAycoa2rotgqR5xDIk2P,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.107493,,1
bud,growth,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_phLtKSAJAuK9oUnuzigOYLoT,0,gpt-4o-2024-08-06,2024-08-18T22:29:16.853276,,1
bud,horns,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kvydAycoa2rotgqR5xDIk2P,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.107493,,1
bud,natural,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_phLtKSAJAuK9oUnuzigOYLoT,0,gpt-4o-2024-08-06,2024-08-18T22:29:16.853276,,1
bud,organic,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_phLtKSAJAuK9oUnuzigOYLoT,0,gpt-4o-2024-08-06,2024-08-18T22:29:16.853276,,1
bud,plant,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_phLtKSAJAuK9oUnuzigOYLoT,0,gpt-4o-2024-08-06,2024-08-18T22:29:16.853276,,1
bud,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kvydAycoa2rotgqR5xDIk2P,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.107493,,1
bud,agriculture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kvydAycoa2rotgqR5xDIk2P,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.107493,,1
bud,blossom,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_phLtKSAJAuK9oUnuzigOYLoT,0,gpt-4o-2024-08-06,2024-08-18T22:29:16.853276,,1
bud,cattle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kvydAycoa2rotgqR5xDIk2P,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.107493,,1
