icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
bulgaria,Bulgaria,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,borders,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,country,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,geography,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,geometric,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,map outline,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,nation,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,polygon,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,shape,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,territory,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,Europe,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,abstract shape,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,angles,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,asymmetrical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,boundary,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,cartography,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,form,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,geopolitical,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,irregular,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,land,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,location,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,region,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,representation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,silhouette,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,2
bulgaria,sovereignty,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,state,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.950307,,1
bulgaria,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,visual,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,artistic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,continental,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.951337,,1
bulgaria,contour,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,cultural,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.951337,,1
bulgaria,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,edge,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,figure,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,line art,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.951337,,1
bulgaria,modern,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
bulgaria,national identity,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.951337,,1
bulgaria,outline,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,2
bulgaria,topography,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_kNAyT2jAkGkW4zt4E6q4G11E,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.951337,,1
bulgaria,trendy,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_dlqJOCR3m0kOuADaRmbaBkdO,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.018814,,1
