icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
bullseye,accuracy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,achievement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,achievement motivation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,arrow,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4r3KzaA8oTK6rLsmTfBRC6Ps,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.405276,,1
bullseye,bullseye,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,determination,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,focus,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,goal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,goal-setting,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,milestone,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,objective,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,precision,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,success,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,target,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,aim,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,archery,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,aspiration,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4r3KzaA8oTK6rLsmTfBRC6Ps,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.405276,,1
bullseye,center,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,circle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,competition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,concentric,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,convergence,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4r3KzaA8oTK6rLsmTfBRC6Ps,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.405276,,1
bullseye,dart,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,darts,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4r3KzaA8oTK6rLsmTfBRC6Ps,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.405276,,1
bullseye,indicator,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,intention,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4r3KzaA8oTK6rLsmTfBRC6Ps,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.405276,,1
bullseye,marksmanship,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,performance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,planning,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,radial,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4r3KzaA8oTK6rLsmTfBRC6Ps,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.405276,,1
bullseye,result,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,sharpshooting,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,shooting,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4r3KzaA8oTK6rLsmTfBRC6Ps,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.405276,,1
bullseye,starting point,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4r3KzaA8oTK6rLsmTfBRC6Ps,0,gpt-4o-2024-08-06,2024-08-18T22:29:28.405276,,1
bullseye,strategy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,2
bullseye,game,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
bullseye,range,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_HOgBkvZTQ2Lq48tmoT7mGbIa,0,gpt-4o-2024-08-06,2024-08-18T21:02:18.186084,,1
