icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
burning-forest,fire,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RfNaeTu6ydDynLgMVNQcLOiw,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.034819,,2
burning-forest,flames,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RfNaeTu6ydDynLgMVNQcLOiw,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.034819,,2
burning-forest,forest,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RfNaeTu6ydDynLgMVNQcLOiw,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.034819,,2
burning-forest,tree,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FfuYPPspV0fEYcgJwGZdrHDY,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.994856,,1
burning-forest,trees,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RfNaeTu6ydDynLgMVNQcLOiw,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.034819,,1
burning-forest,wildfire,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RfNaeTu6ydDynLgMVNQcLOiw,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.034819,,2
burning-forest,alarm,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RfNaeTu6ydDynLgMVNQcLOiw,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.034819,,1
burning-forest,burn,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RfNaeTu6ydDynLgMVNQcLOiw,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.034819,,1
burning-forest,burning,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RfNaeTu6ydDynLgMVNQcLOiw,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.034819,,2
burning-forest,catastrophe,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FfuYPPspV0fEYcgJwGZdrHDY,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.994856,,1
burning-forest,climate change,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FfuYPPspV0fEYcgJwGZdrHDY,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.994856,,1
burning-forest,crisis,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FfuYPPspV0fEYcgJwGZdrHDY,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.994856,,1
burning-forest,damage,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FfuYPPspV0fEYcgJwGZdrHDY,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.994856,,1
burning-forest,danger,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RfNaeTu6ydDynLgMVNQcLOiw,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.034819,,2
burning-forest,deforestation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_FfuYPPspV0fEYcgJwGZdrHDY,0,gpt-4o-2024-08-06,2024-08-18T22:29:00.994856,,1
burning-forest,destruction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RfNaeTu6ydDynLgMVNQcLOiw,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.034819,,2
burning-forest,disaster,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_RfNaeTu6ydDynLgMVNQcLOiw,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.034819,,2
