icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
bus-doors,ecommerce,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,marketplace,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,online store,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,purchase,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,retail,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,shopping,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,browsing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,cart,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,catalog,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,checkout,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,interface,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,merchandise,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,navigation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,product list,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,transaction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,display,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,dual pane,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,framework,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,layout,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,panel,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,split screen,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
bus-doors,window,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_6VLk2Se0zxxjRuFmxN3pBzcY,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.036821,,1
