icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
cabbage,cabbage,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,2
cabbage,icon,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ltMf1dRapRqhAsA0xN3jrGBD,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.108333,,1
cabbage,leaf,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,1
cabbage,leafy,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ltMf1dRapRqhAsA0xN3jrGBD,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.108333,,1
cabbage,vegetable,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,2
cabbage,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ltMf1dRapRqhAsA0xN3jrGBD,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.108333,,1
cabbage,agriculture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,2
cabbage,botanical,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ltMf1dRapRqhAsA0xN3jrGBD,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.108333,,1
cabbage,cuisine ingredient,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ltMf1dRapRqhAsA0xN3jrGBD,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.108333,,1
cabbage,culinary,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,2
cabbage,diet,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,2
cabbage,farm,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,1
cabbage,farming,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ltMf1dRapRqhAsA0xN3jrGBD,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.108333,,1
cabbage,food,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,2
cabbage,fresh,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,1
cabbage,garden,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,2
cabbage,green produce,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ltMf1dRapRqhAsA0xN3jrGBD,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.108333,,1
cabbage,greens,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,1
cabbage,groceries,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ltMf1dRapRqhAsA0xN3jrGBD,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.108333,,1
cabbage,growth,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vIBIAuQ5EKxtqr5wuh7sRK0H,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.055916,,1
