icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
cactus-pot,abstract,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,cactus,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,gears,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,industry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,machinery,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,mechanical,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,mechanism,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,plant,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,pot,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,prickly,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,silhouette,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,spikes,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,succulent,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,thorn,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,arid,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,assembly,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,automation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,botanical,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,component,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,container,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,decoration,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,desert,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,efficiency,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,endurance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,engineering,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,factory,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,growth,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,home decor,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,horticulture,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,industrial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,innovation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,integration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,minimalist,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,nature,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,operation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,process,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,production,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,resilience,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,system,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,technology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,biodiversity,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,construction,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,dynamics,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,eco-friendly,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,exterior,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,function,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,green,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,life,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8ilXFOjEGgqpQMHSh6LlK8Ji,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.119333,,1
cactus-pot,maintenance,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,tool,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
cactus-pot,workshop,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_7Op0BbKosus6rxUa00dUJMAE,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.058896,,1
