icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
candlestick-phone,access,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,analytics,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,control,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,data,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,digital,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,keyhole,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,password,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,security,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,technology,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,authorization,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,cybersecurity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,encryption,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,identification,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,identity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,insight,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,interface,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,lock,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,observation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,privacy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,protection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,system,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,vision,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,binocular,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,exploration,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
candlestick-phone,magnifying glass,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bUApahLSqaijIfNJfclw4VFi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.096896,,1
