icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
card-exchange,arrows,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,2
card-exchange,cards,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Z8mQK4kl8TRXUb2pHFSe03j9,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.433804,,1
card-exchange,recycle,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,1
card-exchange,refresh,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,1
card-exchange,rotation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,2
card-exchange,swap,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Z8mQK4kl8TRXUb2pHFSe03j9,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.433804,,1
card-exchange,transaction,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Z8mQK4kl8TRXUb2pHFSe03j9,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.433804,,1
card-exchange,update,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,1
card-exchange,business,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Z8mQK4kl8TRXUb2pHFSe03j9,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.433804,,1
card-exchange,circle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,1
card-exchange,circulation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Z8mQK4kl8TRXUb2pHFSe03j9,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.433804,,1
card-exchange,continuity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,2
card-exchange,cycle,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Z8mQK4kl8TRXUb2pHFSe03j9,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.433804,,1
card-exchange,cyclic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,1
card-exchange,exchange,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,2
card-exchange,flow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,2
card-exchange,interaction,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_Z8mQK4kl8TRXUb2pHFSe03j9,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.433804,,1
card-exchange,loop,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,2
card-exchange,motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_cnMBiIUf5CZFPeUyMKNvi5Vd,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.132898,,1
