icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
card-pickup,card,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,decision,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,inquiry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,mystery,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,pickup,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mlkWo2FcGKTOpHO5L42nyQwn,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.493973,,1
card-pickup,question,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,question mark,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mlkWo2FcGKTOpHO5L42nyQwn,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.493973,,1
card-pickup,symbol,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,uncertainty,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,unknown,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,action,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,choice,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,choosing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,concept,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,curiosity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,discover,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,enigma,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,entertainment,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mlkWo2FcGKTOpHO5L42nyQwn,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.493973,,1
card-pickup,exploration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,fun,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,game,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,gesture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,hand,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,hidden,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,interaction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
card-pickup,knowledge,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,mystery box,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,participation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mlkWo2FcGKTOpHO5L42nyQwn,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.493973,,1
card-pickup,picking,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,play,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mlkWo2FcGKTOpHO5L42nyQwn,0,gpt-4o-2024-08-06,2024-08-18T22:29:27.493973,,1
card-pickup,probing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,puzzlement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,1
card-pickup,selection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qbNcRWnKqFGNjFb2f5LUpkTK,0,gpt-4o-2024-08-06,2024-08-18T21:02:17.909871,,2
