icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
carousel,amusement park,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,2
carousel,carnival,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,carousel,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,2
carousel,horses,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,2
carousel,merry-go-round,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,2
carousel,ride,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,2
carousel,childhood,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_jRO1AvmCvDnU3CvSDhcH2VXR,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.489851,,1
carousel,children,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,circle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,2
carousel,decorative,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,entertainment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,2
carousel,fair,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_jRO1AvmCvDnU3CvSDhcH2VXR,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.489851,,1
carousel,festival,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,2
carousel,fun,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_jRO1AvmCvDnU3CvSDhcH2VXR,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.489851,,1
carousel,funfair,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,leisure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,2
carousel,motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,outdoor,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,playful,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_jRO1AvmCvDnU3CvSDhcH2VXR,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.489851,,1
carousel,playground,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,recreation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,2
carousel,rotation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_jRO1AvmCvDnU3CvSDhcH2VXR,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.489851,,1
carousel,spinning,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,2
carousel,symmetry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,activity,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_jRO1AvmCvDnU3CvSDhcH2VXR,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.489851,,1
carousel,architecture,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,circus,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_jRO1AvmCvDnU3CvSDhcH2VXR,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.489851,,1
carousel,event,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_jRO1AvmCvDnU3CvSDhcH2VXR,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.489851,,1
carousel,joy,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_jRO1AvmCvDnU3CvSDhcH2VXR,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.489851,,1
carousel,nostalgia,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_jRO1AvmCvDnU3CvSDhcH2VXR,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.489851,,1
carousel,pattern,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,shelter,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,structure,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_A04ZYGYjyIpPBdas3JTtRuho,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.147983,,1
carousel,toy,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_jRO1AvmCvDnU3CvSDhcH2VXR,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.489851,,1
