icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
cave-entrance,breaking,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_caELgt14gHTd6sOAf435HhKb,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.164012,,1
cave-entrance,cave,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8Yd2KxsbGqiAehx1m7XuQcw5,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.568859,,1
cave-entrance,crack,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_caELgt14gHTd6sOAf435HhKb,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.164012,,1
cave-entrance,damage,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_caELgt14gHTd6sOAf435HhKb,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.164012,,1
cave-entrance,entrance,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8Yd2KxsbGqiAehx1m7XuQcw5,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.568859,,1
cave-entrance,fracture,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_caELgt14gHTd6sOAf435HhKb,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.164012,,1
cave-entrance,opening,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8Yd2KxsbGqiAehx1m7XuQcw5,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.568859,,1
cave-entrance,shatter,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_caELgt14gHTd6sOAf435HhKb,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.164012,,1
cave-entrance,abstract landscape,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8Yd2KxsbGqiAehx1m7XuQcw5,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.568859,,1
cave-entrance,adventure,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8Yd2KxsbGqiAehx1m7XuQcw5,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.568859,,1
cave-entrance,archway,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8Yd2KxsbGqiAehx1m7XuQcw5,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.568859,,1
cave-entrance,cavern,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_8Yd2KxsbGqiAehx1m7XuQcw5,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.568859,,1
cave-entrance,collapse,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_caELgt14gHTd6sOAf435HhKb,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.164012,,1
