icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
champions,achievement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,2
champions,achievement award,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,1
champions,award,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,2
champions,champion,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_MFktdanCj5vnm8Bzzovzor6d,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.702860,,1
champions,collaborative success,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,1
champions,competition,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,2
champions,joint effort,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,1
champions,prize,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,2
champions,recognition,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,2
champions,success,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,2
champions,symbol of success,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,1
champions,team victory,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,1
champions,teamwork,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_2kaFHSX5wjffey5V8pvibogj,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.190001,,2
