icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
charged-arrow,arrow,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,burst,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,charge,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,destruction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,direction,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,electricity,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,explosion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,force,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,2
charged-arrow,impact,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,2
charged-arrow,lightning,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,movement,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,shockwave,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,speed,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,2
charged-arrow,alert,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,breaking,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,chaos,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,collapse,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,communication,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,crash,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,damage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,danger,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,debris,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,disruption,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,dynamism,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,2
charged-arrow,eruption,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,fragmentation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,jagged,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,navigation,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,power,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,2
charged-arrow,progress,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,sharp,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,signal,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,transmission,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,violence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,zigzag,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,event,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,1
charged-arrow,graphic,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,iconic,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,metaphor,low,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ToW9OkcwjLti2ABwLn9iF44f,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.237320,,1
charged-arrow,symbolic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QisUHySE1CPjGgJk43nNEFM9,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.190065,,2
