icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
chewed-heart,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_d8Hyhy3f6lN5MsdOxGeNOdaR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.210069,,2
chewed-heart,bitten,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ZYZIH0qN7KYXoWj4uBscd1jz,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.364164,,1
chewed-heart,chewed,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ZYZIH0qN7KYXoWj4uBscd1jz,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.364164,,1
chewed-heart,cloud,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_d8Hyhy3f6lN5MsdOxGeNOdaR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.210069,,1
chewed-heart,conceptual,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_d8Hyhy3f6lN5MsdOxGeNOdaR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.210069,,2
chewed-heart,heart,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_d8Hyhy3f6lN5MsdOxGeNOdaR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.210069,,2
chewed-heart,love,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_d8Hyhy3f6lN5MsdOxGeNOdaR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.210069,,2
chewed-heart,metaphor,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ZYZIH0qN7KYXoWj4uBscd1jz,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.365163,,1
chewed-heart,negative space,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_d8Hyhy3f6lN5MsdOxGeNOdaR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.210069,,1
chewed-heart,shape,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_d8Hyhy3f6lN5MsdOxGeNOdaR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.210069,,2
chewed-heart,symbol,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_d8Hyhy3f6lN5MsdOxGeNOdaR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.210069,,2
chewed-heart,artistic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_d8Hyhy3f6lN5MsdOxGeNOdaR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.210069,,2
chewed-heart,balance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_d8Hyhy3f6lN5MsdOxGeNOdaR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.210069,,1
chewed-heart,broken,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ZYZIH0qN7KYXoWj4uBscd1jz,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.364164,,1
chewed-heart,caring,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_d8Hyhy3f6lN5MsdOxGeNOdaR,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.210069,,1
chewed-heart,concept,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_ZYZIH0qN7KYXoWj4uBscd1jz,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.365163,,1
