icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
choice,checkmark,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,choice,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,cross,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,decision,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,no,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,options,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,yes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,alternative,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,approval,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,binary,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,branching,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,choice point,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,divergence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,evaluation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,outcome,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,path,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,process,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,rejection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,selection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,workflow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,junction,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,logic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,navigation,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,plan,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,route,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,strategy,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
choice,system,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_PXpqAHU9O8IS8r6OGH8Js1XH,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.240012,,1
