icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
clapperboard,cinema,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QeIbNJs6EuUrZaOmlBxFvzJI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.262145,,2
clapperboard,clap,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_vPTUdw4wSUtGbvmQlD5ALNdM,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.966081,,1
clapperboard,clapperboard,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QeIbNJs6EuUrZaOmlBxFvzJI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.262145,,2
clapperboard,film,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QeIbNJs6EuUrZaOmlBxFvzJI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.262145,,2
clapperboard,film industry,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_vPTUdw4wSUtGbvmQlD5ALNdM,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.966081,,1
clapperboard,filmmaking,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QeIbNJs6EuUrZaOmlBxFvzJI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.262145,,1
clapperboard,movie,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QeIbNJs6EuUrZaOmlBxFvzJI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.262145,,1
clapperboard,movie production,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_vPTUdw4wSUtGbvmQlD5ALNdM,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.966081,,1
clapperboard,production,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QeIbNJs6EuUrZaOmlBxFvzJI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.262145,,2
clapperboard,scene take,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_vPTUdw4wSUtGbvmQlD5ALNdM,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.966081,,1
clapperboard,shooting,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_vPTUdw4wSUtGbvmQlD5ALNdM,0,gpt-4o-2024-08-06,2024-08-18T22:29:01.966081,,1
clapperboard,video,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_QeIbNJs6EuUrZaOmlBxFvzJI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.262145,,1
