icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
clothesline,clothesline,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,clothing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,laundry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,pants,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,air drying,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,cleaning,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,dry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,fabric,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,hanger,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,household,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,static,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,wind,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,abstract,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,iconography,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,illustration,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,minimalist,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,shape,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,simple,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
clothesline,symbolic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_DfkzzDCKPicAlr0laFAJy4by,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.252304,,1
