icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
clout,bomb,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,conflict,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,danger,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,destruction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,detonation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,explosion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,military,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,war,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,weapon,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,aggression,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,attack,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,combat,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,firepower,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,impact,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,missile,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,munition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,projectile,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,tactical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
clout,threat,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_qowkuZUnmvCCRXVweUy2TGG4,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.238123,,1
