icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
cog-lock,cog,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,engineering,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,gear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,industrial,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,machine,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,mechanical,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,assembly,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,automation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,balance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,center,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,circular,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,connection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,functionality,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,hub,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,industry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,inner workings,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,motion,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,precision,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,process,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,rotate,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,system,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,technology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,wheel,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
cog-lock,abstract,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_UzJgwI3ZFF7UZx2kekw5f3Fu,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.250741,,1
