icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
coiled-nail,abstract,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,sharp,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,spikes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,aggressive,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,arrow,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,cutting,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,danger,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,direction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,force,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,geometry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,impact,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,linear,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,pattern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,piercing,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,point,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,power,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,speed,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,thrust,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,edgy,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,futuristic,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
coiled-nail,modern,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_yrGWC63Dz7uAd98jE5L8xAoI,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.314164,,1
