icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
coinflip,communication,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,expression,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,fingers,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,gesture,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,gesture-based communication,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,hand,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,physical gesture,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,sign,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,action,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,body language,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,dialogue,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,human interaction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,indication,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,interaction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,nonverbal,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,sign language,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,symbolic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,symbols,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,talk,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,discussion,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
coinflip,motif,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_adEBlFByN3jnojLBu3HSnuGN,0,gpt-4o-2024-08-06,2024-08-18T21:02:10.254377,,1
