icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
coins,coins,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,2
coins,currency,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,2
coins,economy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,2
coins,finance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,2
coins,money,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,2
coins,value,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_m4m6oFMWH3hnmZUEb89zXRZU,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.249342,,1
coins,wealth,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,2
coins,abundance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_m4m6oFMWH3hnmZUEb89zXRZU,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.249342,,1
coins,accumulation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,2
coins,accumulative,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_m4m6oFMWH3hnmZUEb89zXRZU,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.249342,,1
coins,banking,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,1
coins,capital,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,1
coins,commerce,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,2
coins,exchange,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_m4m6oFMWH3hnmZUEb89zXRZU,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.249342,,1
coins,investment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,2
coins,payment,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_m4m6oFMWH3hnmZUEb89zXRZU,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.249342,,1
coins,profit,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,2
coins,riches,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_T2eyL6pgypA5JYiFagNx7Xqu,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.317166,,2
