icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
converse-shoe,canvas shoe,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_BJ3DxmL1BQxkidTXOrgNu0kJ,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.384243,,1
converse-shoe,footwear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_H0PmIixJUhBqexQKU4XvEtAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.354718,,2
converse-shoe,high-top,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_BJ3DxmL1BQxkidTXOrgNu0kJ,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.384243,,1
converse-shoe,lace-up,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_BJ3DxmL1BQxkidTXOrgNu0kJ,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.384243,,1
converse-shoe,shoe,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_H0PmIixJUhBqexQKU4XvEtAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.354718,,2
converse-shoe,sneaker,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_H0PmIixJUhBqexQKU4XvEtAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.354718,,2
converse-shoe,athletic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_H0PmIixJUhBqexQKU4XvEtAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.354718,,2
converse-shoe,casual,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_H0PmIixJUhBqexQKU4XvEtAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.354718,,1
converse-shoe,casual wear,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_BJ3DxmL1BQxkidTXOrgNu0kJ,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.384243,,1
converse-shoe,comfort,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_H0PmIixJUhBqexQKU4XvEtAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.354718,,2
converse-shoe,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_H0PmIixJUhBqexQKU4XvEtAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.354718,,2
converse-shoe,durability,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_H0PmIixJUhBqexQKU4XvEtAi,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.354718,,2
converse-shoe,emblem,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_BJ3DxmL1BQxkidTXOrgNu0kJ,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.384243,,1
