icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
cookie,asteroid,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,astronomy,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,celestial body,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,crater,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,meteorite,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,space,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,cosmos,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,debris,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,fragment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,galaxy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,impact,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,orbit,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,planet,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,pockmarked,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,rock,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,rough surface,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,science,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,solar system,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,space exploration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,stellar,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,universe,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,void,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,boulder,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
cookie,gravel,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_m4zIAEQhvJQyrkvYwrByoxSy,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.364738,,1
