icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
coral,abstract,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5sZ8D1kcxlwqLM6gS1z0rHyB,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.452256,,1
coral,abstract tree,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IDbmliRQj0mAkrxS0nqGmYRm,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.371718,,1
coral,branch,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IDbmliRQj0mAkrxS0nqGmYRm,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.371718,,1
coral,branches,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5sZ8D1kcxlwqLM6gS1z0rHyB,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.453263,,1
coral,branching,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5sZ8D1kcxlwqLM6gS1z0rHyB,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.452256,,1
coral,coral,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5sZ8D1kcxlwqLM6gS1z0rHyB,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.452256,,1
coral,organic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IDbmliRQj0mAkrxS0nqGmYRm,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.371718,,2
coral,organic growth,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IDbmliRQj0mAkrxS0nqGmYRm,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.371718,,1
coral,plant,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IDbmliRQj0mAkrxS0nqGmYRm,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.371718,,1
coral,reef,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5sZ8D1kcxlwqLM6gS1z0rHyB,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.452256,,1
coral,root,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IDbmliRQj0mAkrxS0nqGmYRm,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.371718,,1
coral,structure,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IDbmliRQj0mAkrxS0nqGmYRm,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.371718,,2
coral,tree,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IDbmliRQj0mAkrxS0nqGmYRm,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.371718,,1
coral,bifurcation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IDbmliRQj0mAkrxS0nqGmYRm,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.371718,,1
coral,biodiversity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5sZ8D1kcxlwqLM6gS1z0rHyB,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.452256,,1
coral,biological,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5sZ8D1kcxlwqLM6gS1z0rHyB,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.453263,,1
coral,biology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_IDbmliRQj0mAkrxS0nqGmYRm,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.371718,,1
coral,complexity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_5sZ8D1kcxlwqLM6gS1z0rHyB,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.452256,,1
