icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
corked-tube,chemical,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,chemistry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,experiment,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,laboratory,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,research,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,science,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,test tube,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,testing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,tube,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,analysis,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,beaker,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,biology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,compound,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,cylinder,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,experimenting,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,glassware,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,investigation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,liquid,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,measure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,medical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,precision,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,safety,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,substance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,tools,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,clean,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,education,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
corked-tube,fluid,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_e7KV833XKtT0AzcPGIXXa4GE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.279711,,1
