icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
cowled,anonymity,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_FJSmA2MfcBr61ftsGw1kDHKk,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.283709,,2
cowled,cloak,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X6V8b2XyFTYRV0wJgVsgF7P1,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.719751,,1
cowled,cloaked,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_FJSmA2MfcBr61ftsGw1kDHKk,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.283709,,1
cowled,concealment,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X6V8b2XyFTYRV0wJgVsgF7P1,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.719751,,1
cowled,hidden identity,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X6V8b2XyFTYRV0wJgVsgF7P1,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.719751,,1
cowled,hood,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_FJSmA2MfcBr61ftsGw1kDHKk,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.283709,,1
cowled,hooded figure,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X6V8b2XyFTYRV0wJgVsgF7P1,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.719751,,1
cowled,mysterious,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_FJSmA2MfcBr61ftsGw1kDHKk,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.283709,,2
cowled,secrecy,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_X6V8b2XyFTYRV0wJgVsgF7P1,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.719751,,1
cowled,secretive,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_FJSmA2MfcBr61ftsGw1kDHKk,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.283709,,1
