icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
cracked-disc,burst,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,collision,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,crack,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,explosion,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,fracture,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,impact,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,alert,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,breakage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,catastrophe,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,chaos,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,damage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,danger,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,destruction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,disruption,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,emergency,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,force,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,hazard,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,intensity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,power,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,radial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,rupture,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,shockwave,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,sudden event,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,violence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,volatile,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
cracked-disc,rough,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_0mZuuPu6s71qZTYNqzATLfh8,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.293707,,1
