icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
crown-coin,coin,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vqw0m6MofSVT65mwDgVYyyG5,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.360409,,2
crown-coin,crown,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vqw0m6MofSVT65mwDgVYyyG5,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.360409,,2
crown-coin,currency,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vqw0m6MofSVT65mwDgVYyyG5,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.360409,,2
crown-coin,financial,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_L1K3flNfc3LpsjQ8rU7TLK3v,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.988333,,1
crown-coin,money,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vqw0m6MofSVT65mwDgVYyyG5,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.360409,,2
crown-coin,value,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vqw0m6MofSVT65mwDgVYyyG5,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.360409,,2
crown-coin,wealth,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vqw0m6MofSVT65mwDgVYyyG5,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.360409,,2
crown-coin,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_L1K3flNfc3LpsjQ8rU7TLK3v,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.988333,,1
crown-coin,affluence,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_L1K3flNfc3LpsjQ8rU7TLK3v,0,gpt-4o-2024-08-06,2024-08-18T22:29:17.988333,,1
crown-coin,asset,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_vqw0m6MofSVT65mwDgVYyyG5,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.360409,,1
