icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
crucifix,Christianity,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,T-shape,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,construction,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
crucifix,cross,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,crucifix,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,faith,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,hammer,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
crucifix,religion,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,repair,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
crucifix,spiritual,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,tools,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
crucifix,worship,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,DIY,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
crucifix,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,angle,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,building,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
crucifix,devotion,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,engineering,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
crucifix,geometry,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,guidance,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,handheld,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
crucifix,hardware,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
crucifix,icon,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,identity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,impact,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
crucifix,industrial,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
crucifix,intersection,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_mjfh5hWp8ggeNWW46P3anFXo,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.733322,,1
crucifix,maintenance,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_tMqJtrdPv1n5yCME3mO6QyMB,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.435726,,1
