icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
crystal-shine,brightness,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7NyaRuKi3NRSL339WPjN1DxE,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.046065,,1
crystal-shine,cog,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bRcv4yYXl0r5Vw8H9qqDlAti,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.383409,,1
crystal-shine,crystal,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7NyaRuKi3NRSL339WPjN1DxE,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.046065,,1
crystal-shine,facets,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7NyaRuKi3NRSL339WPjN1DxE,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.046065,,1
crystal-shine,gear,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bRcv4yYXl0r5Vw8H9qqDlAti,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.383409,,1
crystal-shine,gem,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7NyaRuKi3NRSL339WPjN1DxE,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.046065,,1
crystal-shine,mechanism,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bRcv4yYXl0r5Vw8H9qqDlAti,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.383409,,1
crystal-shine,movement,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bRcv4yYXl0r5Vw8H9qqDlAti,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.383409,,1
crystal-shine,radiance,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7NyaRuKi3NRSL339WPjN1DxE,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.046065,,1
crystal-shine,rotation,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bRcv4yYXl0r5Vw8H9qqDlAti,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.383409,,1
crystal-shine,shine,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7NyaRuKi3NRSL339WPjN1DxE,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.046065,,1
crystal-shine,sparkle,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_7NyaRuKi3NRSL339WPjN1DxE,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.046065,,1
crystal-shine,technology,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bRcv4yYXl0r5Vw8H9qqDlAti,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.383409,,1
crystal-shine,turn,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_bRcv4yYXl0r5Vw8H9qqDlAti,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.383409,,1
