icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
curly-mask,balance,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,complementary,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,cultural,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,duality,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,equilibrium,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,harmony,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,opposites,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,symmetry,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,wholeness,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,yin yang,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,circular,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,continuity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,contrast,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,energy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,holistic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,iconography,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,identity,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,meditation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,philosophy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,reflection,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,serpentine,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,spiritual,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
curly-mask,curved lines,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_smmzDibAnGxMoEZqWJHeG0qL,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.405463,,1
