icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
delivery-drone,aerial,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VkElL8nwcJdITzxzBgWqnwoS,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.491232,,2
delivery-drone,delivery,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4gG1tbsNT4MOh2vlgd5g4pJn,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.910685,,1
delivery-drone,drone,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VkElL8nwcJdITzxzBgWqnwoS,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.491232,,2
delivery-drone,emerging tech,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4gG1tbsNT4MOh2vlgd5g4pJn,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.910685,,1
delivery-drone,flying,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VkElL8nwcJdITzxzBgWqnwoS,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.491232,,1
delivery-drone,futuristic,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4gG1tbsNT4MOh2vlgd5g4pJn,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.910685,,1
delivery-drone,propellers,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VkElL8nwcJdITzxzBgWqnwoS,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.491232,,2
delivery-drone,quad-rotor,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4gG1tbsNT4MOh2vlgd5g4pJn,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.910685,,1
delivery-drone,quadcopter,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VkElL8nwcJdITzxzBgWqnwoS,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.491232,,1
delivery-drone,speed,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4gG1tbsNT4MOh2vlgd5g4pJn,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.910685,,1
delivery-drone,technology,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VkElL8nwcJdITzxzBgWqnwoS,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.491232,,2
delivery-drone,technology advancement,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4gG1tbsNT4MOh2vlgd5g4pJn,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.910685,,1
delivery-drone,transport,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4gG1tbsNT4MOh2vlgd5g4pJn,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.910685,,1
delivery-drone,aerodynamic,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_4gG1tbsNT4MOh2vlgd5g4pJn,0,gpt-4o-2024-08-06,2024-08-18T22:29:02.910685,,1
