icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
diving-dagger,classic,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,creativity,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,elegant,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,formal,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,fountain pen,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,ink,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,quill,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,writing,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,art,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,calligraphy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,communication,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,drafting,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,literature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,office,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,paper,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,precision,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,professional,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,signature,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,studious,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,tool,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,vintage,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
diving-dagger,symbol,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_8mMdRPoBpr6nEfDHhZaEGmvM,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.485996,,1
