icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
domino-tiles,domino,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,dots,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,game,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,pips,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,tiles,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,arrangement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,block,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,board game,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,challenge,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,combination,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,competition,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,matching,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,pair,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,pattern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,play,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,recreation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,sequence,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,strategic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,tactical,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,grid,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,numbers,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
domino-tiles,repetition,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_aVX8ndGsOMID9EmWBnz3byaJ,0,gpt-4o-2024-08-06,2024-08-18T21:02:11.582615,,1
