icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
dozen,dozen,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_loHRhJ5CmQJpZwcqKm5ZPIHM,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.700575,,1
dozen,figures,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_loHRhJ5CmQJpZwcqKm5ZPIHM,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.700575,,1
dozen,grid,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,2
dozen,group,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,1
dozen,pattern,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,2
dozen,repetition,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,2
dozen,symbolic people,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,1
dozen,twelve,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_loHRhJ5CmQJpZwcqKm5ZPIHM,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.700575,,1
dozen,abstract people,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514961,,1
dozen,alignment,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,2
dozen,arrangement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,2
dozen,collaboration,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514961,,1
dozen,collective,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,1
dozen,community,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,1
dozen,community building,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514961,,1
dozen,cooperation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514961,,1
dozen,formation,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,1
dozen,groups,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_loHRhJ5CmQJpZwcqKm5ZPIHM,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.700575,,1
dozen,interaction,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514961,,1
dozen,movement,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,1
dozen,organization,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,2
dozen,quantity,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_loHRhJ5CmQJpZwcqKm5ZPIHM,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.700575,,1
dozen,structure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_XjrAghHPCzkSFBc27tUzrODE,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.514105,,2
dozen,symbol,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_loHRhJ5CmQJpZwcqKm5ZPIHM,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.700575,,1
