icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
echo-ripples,echo,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,nature,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,nautilus,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,ripples,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,seashell,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,shell,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,sound waves,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,spiral,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,vibration,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,waves,high,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,2
echo-ripples,biology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,circular,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,communication,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,conceptual,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,curve,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,curves,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,design,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,dynamic,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,energy,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,evolution,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,expansion,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,fibonacci,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,form,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,frequency,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,geometric,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,growth,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,marine,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,motion,medium,en,acbart@vt.edu,,,False,False,starter-v2-128,batch_req_fRVTvrcySvCGSWtamoqN2b1E,0,gpt-4o-2024-08-06,2024-08-18T22:29:18.900693,,1
echo-ripples,natural,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
echo-ripples,ocean,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_VqdkCF2aDKaAvUwrkpLA8YMj,0,gpt-4o-2024-08-06,2024-08-18T21:02:15.565776,,1
